Representor;homogeneity;completeness;v-measure;perfect k;empty centroid
Type Structure;0,35;0,84;0,5;16;0
WeightSummary;0,67;0,27;0,39;12;3
Type Specific;0,4;0,65;0,5;16;4
WeightSummary;0,15;0,41;0,22;17;7
