Representor;homogeneity;completeness;v-measure;perfect k;empty centroid
Type Structure;0,7;0,86;0,77;11;0
WeightSummary;0,6;0,45;0,51;11;5
Type Specific;0,58;0,38;0,46;13;5
WeightSummary;0,83;0,51;0,63;11;2
