Representor;homogeneity;completeness;v-measure;perfect k;empty centroid
Type Structure;0,47;0,76;0,58;13;0
WeightSummary;0,66;0,41;0,5;13;3
Type Specific;0,51;0,8;0,62;16;2
WeightSummary;0,27;0,53;0,37;18;1
