J/k, k
861.531788744692, 1
364.123450775526, 2
203.857978081016, 3
145.084787760302, 4
114.626953767078, 5
92.014106590857, 6
72.0191501310242, 7
61.1278057425875, 8
56.8411467235601, 9
48.9987592488714, 10
38.7690368580911, 11
40.6011509895091, 12
31.8407500141593, 13
30.5632798432333, 14
28.2814160253203, 15
22.3845234807832, 16
27.2702603799809, 17
21.7777242159122, 18
20.1283253460078, 19
21.4170554249623, 20
