Representor;homogeneity;completeness;v-measure;perfect k;empty centroid
Type Structure;0,5;0;0;12;5
WeightSummary;0,2;0,04;0,07;11;8
Type Specific;0,62;0,01;0,21;13;5
WeightSummary;0,28;0;0;11;6
